preprocessing,feature_type,classifier,params,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,params_str
psd_pca30,psd,knn,{'n_neighbors': 5},0.7373057358891287,0.1395602253751975,0.623394470732777,0.12442229629875026,0.7296849546126242,0.1472450469964335,{'n_neighbors': 5}
psd_pca30,psd,knn,{'n_neighbors': 7},0.742035961081223,0.14181159819225575,0.6264056474264502,0.13254487948402033,0.7329166299236316,0.1499184868454917,{'n_neighbors': 7}
psd_pca30,psd,knn,{'n_neighbors': 9},0.7460712025951024,0.14454358895438466,0.6314800349664256,0.13338633571969316,0.7365809831076651,0.15285129073491655,{'n_neighbors': 9}
psd_pca30,psd,logreg,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.755021666484694,0.1295710397283305,0.6310506362722416,0.13438731034930632,0.7485180470189664,0.12779517090057496,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca30,psd,logreg,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7535540952216722,0.12740888130316674,0.6311972094351889,0.13021045371635814,0.7475369134539487,0.12468342775210468,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca30,psd,logreg,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7534192841586443,0.12707666576804208,0.631144096346273,0.12973121179441005,0.7474626395175406,0.12423850956080683,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_pca30,psd,rf,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7447056897449581,0.1403786580113277,0.6101277967151056,0.13018152285428725,0.7290459998078338,0.14268472664462295,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}"
psd_pca30,psd,rf,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}",0.7347932157597861,0.12622372613856297,0.5821952631192374,0.11310120385013672,0.7137791996550871,0.12277847465756736,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}"
psd_pca30,psd,rf,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}",0.7454160312793385,0.1377236219129888,0.6099893484238912,0.12812517639356655,0.7299198055422175,0.13944759800770004,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}"
psd_pca30,psd,rf,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}",0.7486633570031479,0.13814488633780275,0.6173119677123005,0.1295477795086144,0.734180841580303,0.13984900493521263,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}"
psd_pca30,psd,rf,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}",0.7335279091335141,0.1296428191879243,0.5791593381819933,0.11487212824368608,0.7112767276450874,0.12720408217669085,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}"
psd_pca30,psd,rf,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}",0.7464245995396899,0.13950304473407946,0.6106646770829763,0.13114313128906113,0.7313888810712791,0.14121505306626864,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}"
psd_pca30,psd,svm,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.7866436614161465,0.13818921133760834,0.670792697467172,0.13430832290825517,0.777475136381717,0.13634470693200684,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca30,psd,svm,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.7860727224012537,0.13943548135142542,0.672734364042101,0.13389385675574927,0.7768606183302571,0.1378925161918532,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca30,psd,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7872620175036723,0.13713983597591362,0.6736774289396367,0.13368425121818653,0.7788365348675238,0.13515617077019848,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca30,psd,svm,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7857065747723511,0.14030736471431804,0.6705586728092944,0.13366950727616977,0.7767942103264271,0.1392428731632455,"{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}"
psd_pca30,psd,svm,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.7876130984144997,0.13926330353605013,0.6742322687546172,0.13471426859591856,0.7795608583711798,0.1379578514460809,"{'C': 2.0, 'gamma': 'scale', 'kernel': 'rbf'}"
psd_pca30,psd,svm,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.7833755007515664,0.14828299965239308,0.6730956032007058,0.13858549898651557,0.7748569591040024,0.1515526285378483,"{'C': 2.0, 'gamma': 0.01, 'kernel': 'rbf'}"
